id,anger,disgust,fear,joy,sadness,surprise,reasoning
arq_test_track_b_00001,0.0,0.0,0.0,1.0,1.0,0.0,"The text describes a scenario where someone scatters dried beans for children to search and eat. The act of scattering beans for children to find and crunch suggests a playful or resourceful activity, which could imply a low level of **joy** (though not explicitly stated). There is no indication of **fear**, **anger**, or **surprise**, as the narrative focuses on a routine interaction. The mention of dried beans and the children’s search might subtly imply modest circumstances, hinting at a **low sadness** due to potential scarcity, but this is contextual rather than explicit. No elements of **disgust** are present."
arq_test_track_b_00002,0.0,0.0,2.0,0.0,0.0,1.0,"The text expresses uncertainty and concern about evading customs (""الدّيوانة""), indicating **fear** (moderate intensity) due to the implied risk of consequences. The rhetorical question (""زعمة تقدر تهرب...؟"") suggests doubt and apprehension, reinforcing this emotion. There is no explicit or contextual evidence of **joy, anger, sadness, or disgust**. The questioning tone (""زعمة"") introduces a slight element of disbelief, leading to **surprise** at a low intensity, as the speaker seems skeptical about the feasibility of the action."
arq_test_track_b_00003,0.0,0.0,0.0,1.0,1.0,0.0,"The text describes Omar lying to maintain a facade of domestic comfort (""النار شاعلة في الكانون... آه شحال الواحد يحس روحه مليح في داره""). The forced positivity (""يكدب و يكمل"") and the contrast between the idealized home scene and the implied reality of external hardship (""الشتا لي تصب برا"") suggest a strained or insincere portrayal of contentment, leading to **low joy**. There is no explicit fear, anger, disgust, or surprise. However, the act of lying and the mention of winter’s harshness (""الشتا لي تصب برا"") imply mild unease or dissatisfaction, but not enough to qualify as sadness at a higher intensity."
arq_test_track_b_00004,3.0,0.0,3.0,0.0,0.0,0.0,"The text describes the situation as ""مهوّلة"" (terrifying/awful), which directly indicates **fear** at a high intensity due to the severity implied by the term. The phrase ""الغاشي كامل زعفان"" (the crowd was all angry) explicitly states collective anger, justifying **anger: high**. There are no explicit or contextual cues for joy, sadness, disgust, or surprise. The focus is solely on the intense fear from the terrifying situation and the explicit anger of the crowd."
arq_test_track_b_00005,0.0,0.0,0.0,0.0,0.0,1.0,"The text describes a situation where people are confused (""محير الناس"") because something did not meet their expectations of being light (""يستناو منه يكون خفيف""). The narrator notes that the person’s voice was not heard well (""صوته و ما كانش يتسمع مليح""), emphasizing the unexpected and puzzling nature of the scenario. **Surprise** is present at a **low** intensity due to the unmet expectation (""لا خاطرش كانوا يستناو منه يكون خفيف""), but the lack of explicit emotional language or contextual cues (e.g., threats, loss, or explicit frustration) keeps other emotions absent. There is no indication of joy, fear, anger, sadness, or disgust in the text."
arq_test_track_b_00006,0.0,0.0,0.0,1.0,0.0,0.0,"The text states that Omar was not accustomed to giving bread as charity to the neighbors and describes him as ""حُرّ"" (free/proud). The term ""حُرّ"" implies a sense of pride or independence, which suggests a subtle positive sentiment, justifying a **low** intensity for joy. There is no explicit or contextual evidence of fear, anger, sadness, disgust, or surprise. The refusal to give charity does not inherently convey sadness (e.g., no mention of suffering or regret) or anger (e.g., no conflict or resentment). The focus is on Omar's self-perception rather than external emotional consequences."
arq_test_track_b_00007,2.0,1.0,0.0,0.0,0.0,0.0,"The text expresses frustration about someone persistently ""filling people's heads"" (يعمر ريسان الناس) in every session, implying manipulative or bothersome behavior. The tone suggests annoyance (""كيما كان"" / ""as he used to""), indicating a recurring negative pattern. There is no explicit joy, fear, sadness, or surprise. Disgust is low due to the implied disapproval of the behavior, but anger is moderate because the speaker explicitly criticizes the ongoing action."
arq_test_track_b_00008,0.0,0.0,1.0,0.0,1.0,1.0,"The text describes a family entering through a door without knowing what happened to someone (""دخلوا من الترك بلا ما يعرفوا واش صراله""). There is no explicit mention of positive emotions like **joy**, nor are there indicators of **anger**, **disgust**, or overt **sadness**. However, the uncertainty about the person’s fate (""بلا ما يعرفوا واش صراله"") implies a contextual undercurrent of **fear** (low intensity) due to the unknown outcome. The abruptness of the family’s entry and the unresolved situation could evoke mild **surprise** (low intensity). The lack of closure might also hint at a subdued **sadness** (low intensity), though this is speculative and not strongly supported by explicit language."
arq_test_track_b_00009,0.0,0.0,2.0,0.0,2.0,0.0,"The text ""كامل الناس يموتوا و احنا ثاني؟"" (""Everyone dies, and us again?"") centers on mortality and existential reflection. **Fear** is present at a **moderate** intensity due to the rhetorical question ""و احنا ثاني؟"" (""and us again?""), which implies anxiety about facing the same fate as others. The explicit mention of universal death (""كامل الناس يموتوا"") reinforces this unease. **Sadness** is also **moderate**, as the acknowledgment of universal mortality carries a somber, resigned tone. There is no explicit or contextual evidence for joy, anger, disgust, or surprise. The absence of celebratory, hostile, repulsive, or shocking language justifies their **none** intensity."
arq_test_track_b_00010,1.0,1.0,0.0,0.0,1.0,0.0,"The text describes a situation where others gather under the pretext of happiness (""حتى للهنا"") but are motivated by prying into the narrator's affairs (""حابين يعرفوا حاجات عليه"") and mocking laughter (""يضحكوا شوية""). The mention of ""العادة مع هاذ الناس و الڨلالين"" (the habit of these people and foolish ones) implies disdain for their behavior, suggesting **disgust (low)** due to the derogatory term ""الڨلالين."" The narrator's awareness of being mocked and scrutinized could evoke **anger (low)** (resentment at intrusion) and **sadness (low)** (potential isolation), though neither is explicitly stated. The laughter (""يضحكوا"") is superficial and at the narrator's expense, so **joy is absent**. There are no indications of threat (**fear: none**) or unexpected events (**surprise: none**)."
