id,anger,disgust,fear,joy,sadness,surprise,reasoning
chn_test_track_b_00001,2.0,1.0,0.0,0.0,0.0,0.0,"The text expresses frustration and criticism towards people who ""maliciously speculate"" about others' efforts without contributing themselves. The rhetorical questions (""为啥...?"" and ""有人的心里阴暗到这么可怕吗?"") and phrases like ""恶意揣测"" (malicious speculation) imply **anger** (moderate intensity) at perceived hypocrisy and unfair judgment. The characterization of people's hearts as ""阴暗到这么可怕"" (dark and terrifying) reflects **disgust** (low intensity) toward their perceived moral shortcomings. There is no indication of joy, fear, sadness, or surprise, as the focus is solely on condemning negative behavior."
chn_test_track_b_00002,0.0,0.0,0.0,1.0,0.0,0.0,"The text critiques the latter part of a show for being rushed (""仓促""), lacking nuanced character development (""人物转变感觉不太细腻""), and having a disjointed plot (""情节有点跳跃""). These criticisms indicate dissatisfaction but are expressed in a measured tone without strong negative emotions. The phrase ""但还好，支持狂飙"" (""But it's okay, still support 'Crazy Surge'"") introduces a mild positive sentiment, reflecting residual appreciation for the show despite its flaws. There is no explicit or contextual evidence of fear, anger, sadness, disgust, or surprise. The mild support (""支持"") suggests low-intensity joy, while the critique lacks the intensity or language associated with other emotions."
chn_test_track_b_00003,3.0,1.0,0.0,0.0,0.0,0.0,"The text expresses frustration and irritation directed at others for not managing their family members, leading to disturbances. The phrase ""烦死了"" (so annoyed) explicitly conveys high irritation. The rhetorical question ""你们能不能管好自己父母、孩子"" (can’t you manage your own parents/children?) implies blame and criticism, reflecting anger. The demand to ""少去打扰人家"" (stop bothering others) reinforces frustration, while ""一天天的…"" suggests ongoing annoyance. There is no indication of joy, fear, sadness, or surprise. Disgust is low due to the implicit contempt for others’ irresponsible behavior but lacks explicit vilification."
chn_test_track_b_00004,0.0,0.0,0.0,0.0,0.0,0.0,"The text is an analytical commentary on societal changes driven by industrialization and globalization. It discusses the diminishing reliance on familial structures in agrarian societies and predicts the eventual disappearance of such relationships. The tone is neutral and observational, focusing on historical and economic trends rather than personal experiences or emotional expressions. There are no explicit markers of emotion (e.g., positive/negative adjectives, exclamations, or value judgments). Contextually, the phrase ""必然会消失"" (""will inevitably disappear"") implies a factual prediction rather than lamentation or resistance. No evidence of joy, fear, anger, sadness, disgust, or surprise is present in either the language or subtext."
chn_test_track_b_00005,0.0,0.0,0.0,1.0,1.0,0.0,"The text reflects a mix of past longing and current fulfillment. The mention of ""羡慕"" (envy) toward peers who attended interest classes as a child indicates **sadness** (low intensity) due to unfulfilled desires in the past. However, the tone shifts to resolution with ""现在长大了有机会了，补上来了"" (""now that I’m grown up, I have the chance to make up for it""), suggesting **joy** (low intensity) derived from overcoming past limitations. There is no evidence of fear, anger, disgust, or surprise, as the narrative focuses on personal reflection and proactive resolution without resentment, anxiety, or unexpected elements."
chn_test_track_b_00006,0.0,0.0,0.0,0.0,0.0,0.0,"The text states that the current decision is not final and the case is returning to the Court of Arbitration for Sport, with a possible reduced ban of 7 years. The tone is factual and procedural, focusing on legal processes rather than expressing emotions. There are no explicit emotional words (e.g., ""happy,"" ""afraid,"" ""angry"") or contextual cues implying emotional states. The exclamation mark in ""这不是终审结论！"" emphasizes procedural urgency, not joy, anger, or surprise. The mention of a potential 7-year ban is presented neutrally as a possibility, without lamentation (sadness) or moral judgment (disgust). No elements of fear, anger, or surprise are evident in the phrasing."
chn_test_track_b_00007,2.0,0.0,0.0,0.0,0.0,0.0,"The text critiques the disparity between average income and housing prices in a county, expressing frustration through sarcasm (""现在搞得好像不上万还是功绩了一样""). The tone is critical but lacks explicit fear, sadness, or disgust. The use of ""不该"" (should not) and the sarcastic comparison to lower-tier cities (""地级市都不该上万"") implies moderate frustration or indignation toward the perceived unjust economic situation. There is no explicit joy, fear, sadness, disgust, or surprise."
chn_test_track_b_00008,2.0,3.0,0.0,0.0,0.0,0.0,"The text expresses strong disdain through the derogatory term ""白皮豬"" (a racial slur targeting white people), indicating **disgust** (high intensity) due to moral contempt for hidden racism and hypocrisy (""把種族歧視放心裡...假裝公正""). The dismissive tone (""不用太關注結果"") and criticism of the subject’s ""招搖"" (showiness) reinforce this disgust. **Anger** is moderate, derived from frustration with systemic injustice (""結果不會改變"") and the use of inflammatory language, though it is less direct than overt outrage. There is no explicit or contextual evidence for joy, fear, sadness, or surprise."
chn_test_track_b_00009,0.0,0.0,0.0,1.0,0.0,0.0,"The text begins with a metaphor (""人生天地间，忽如远行客"") that reflects on the transient nature of human existence. While this line carries a philosophical and slightly melancholic tone, it does not explicitly express sadness but rather a neutral acknowledgment of life's brevity. The subsequent phrase (""做你想做的事，成为你想成为的人"") shifts to an encouraging and aspirational message, promoting self-actualization and autonomy. This creates a subtle undercurrent of positivity (joy), though the intensity remains low due to the absence of explicit celebratory or emotionally charged language. There is no evidence of fear, anger, sadness, disgust, or surprise, as the text lacks direct or contextual cues for these emotions (e.g., threats, conflict, loss, aversion, or unexpected events)."
chn_test_track_b_00010,3.0,0.0,2.0,0.0,0.0,0.0,"The text expresses frustration with the challenges of returning to the hometown for the New Year, particularly due to safety concerns and lack of supervision for the children. The phrase **“烦死了”** (fed up) directly conveys **anger** (high intensity) due to the stress of managing multiple children in an unsafe environment. **Fear** (moderate intensity) arises from the explicit mention of danger (“好危险”) as the children play unsupervised with firecrackers and face physical risks like frostbite. There are no indicators of joy, sadness, disgust, or surprise, as the narrative focuses on irritation and worry without implying sorrow, revulsion, or unexpected events."
