id,anger,disgust,fear,joy,sadness,surprise,reasoning
esp_test_track_b_00001,0.0,0.0,0.0,1.0,0.0,0.0,"The text ""Pues 50k dolares no está tan mal. Una coperacha."" suggests a neutral to slightly positive sentiment. The phrase ""no está tan mal"" (not so bad) indicates a mild sense of satisfaction or acceptance, which could imply a low level of joy. There is no evidence of fear, anger, sadness, disgust, or surprise in the text. The mention of ""50k dolares"" and ""una coperacha"" (a contribution) does not evoke any strong negative or positive emotions beyond the mild satisfaction implied by ""no está tan mal."""
esp_test_track_b_00002,0.0,0.0,3.0,0.0,0.0,1.0,"The text ""Wao... Me da mas horror cocomelon xd"" expresses a strong reaction to something related to ""Cocomelon."" The word ""horror"" explicitly indicates a feeling of fear or dread, which is further emphasized by the phrase ""me da mas horror"" (it gives me more horror). The use of ""Wao"" suggests a heightened emotional reaction, possibly indicating surprise or shock. The ""xd"" at the end is a casual tone indicator, which slightly mitigates the intensity of the emotions but does not negate them. There is no evidence of joy, anger, sadness, or disgust in the text.

- **Joy**: None. There is no indication of happiness or positive feelings in the text.
- **Fear**: High. The explicit use of ""horror"" and the phrase ""me da mas horror"" strongly indicate fear.
- **Anger**: None. There is no language or context suggesting anger.
- **Sadness**: None. The text does not convey any sadness or sorrow.
- **Disgust**: None. There is no evidence of disgust in the text.
- **Surprise**: Low. The use of ""Wao"" suggests a mild element of surprise or shock."
esp_test_track_b_00003,2.0,0.0,0.0,0.0,0.0,0.0,"The text ""Ya vienes a criticarme"" translates to ""You come to criticize me now."" This statement implies a defensive or confrontational tone, suggesting that the speaker is addressing someone who is criticizing them. 

- **Joy**: There is no indication of joy in the text. The tone is defensive rather than celebratory or happy. (Intensity: none)
- **Fear**: There is no explicit or implicit indication of fear. The speaker is not expressing concern or anxiety. (Intensity: none)
- **Anger**: The tone of the statement suggests irritation or frustration, as the speaker is addressing someone who is criticizing them. This implies a moderate level of anger. (Intensity: moderate)
- **Sadness**: There is no indication of sadness. The speaker is not expressing sorrow or grief. (Intensity: none)
- **Disgust**: There is no explicit or implicit indication of disgust. The speaker is not expressing revulsion or strong disapproval. (Intensity: none)
- **Surprise**: There is no indication of surprise. The speaker is not expressing astonishment or unexpectedness. (Intensity: none)"
esp_test_track_b_00004,0.0,0.0,3.0,0.0,0.0,0.0,"The text expresses a clear sense of fear or discomfort, as indicated by the phrase ""Huy que pavor"" (Oh, what fear/dread). This suggests a moderate to high level of fear, as the speaker is explicitly acknowledging a feeling of dread. The subsequent statement, ""mejor voy a seguir dormiendo bien y comiendo saludable"" (I better keep sleeping well and eating healthy), implies a desire to avoid or mitigate the source of this fear, reinforcing the presence of fear. There is no evidence of joy, anger, sadness, disgust, or surprise in the text. The focus is solely on the speaker's reaction to a fearful situation and their coping mechanism."
esp_test_track_b_00005,1.0,2.0,0.0,0.0,0.0,0.0,"The text ""Su voz de comopolita aturde"" translates to ""His/her voice like a comopolita stuns."" The word ""aturde"" (stuns) suggests a strong negative reaction to the voice, which implies discomfort or irritation. This could be associated with disgust or anger, but there is no explicit evidence of anger. The term ""comopolita"" is unclear, but it might be a typo or a specific reference that adds to the negative tone. There is no indication of joy, fear, sadness, or surprise in the text.

- **Joy**: None. The text conveys a negative reaction, and there is no evidence of happiness or positive sentiment.
- **Fear**: None. There is no mention of danger, threat, or anxiety.
- **Anger**: Low. The use of ""aturde"" suggests irritation, but there is no strong evidence of anger.
- **Sadness**: None. The text does not express sorrow or melancholy.
- **Disgust**: Moderate. The negative reaction to the voice implies a sense of distaste or discomfort.
- **Surprise**: None. There is no indication of unexpectedness or astonishment."
esp_test_track_b_00006,0.0,0.0,0.0,4.0,0.0,0.0,"The text ""Son unos dioses esa banda"" translates to ""They are gods, that band."" This statement is a strong expression of admiration and praise. 

- **Joy**: The text conveys a high level of admiration and positive sentiment, which is closely related to joy. The use of ""dioses"" (gods) suggests a very high level of appreciation and happiness. Intensity: very high.
- **Fear**: There is no indication of fear in the text. The statement is purely positive and does not suggest any threat or danger. Intensity: none.
- **Anger**: There is no evidence of anger in the text. The tone is entirely positive and celebratory. Intensity: none.
- **Sadness**: The text does not convey any sadness. It is a statement of high praise and admiration. Intensity: none.
- **Disgust**: There is no indication of disgust. The text is positive and does not express any negative feelings. Intensity: none.
- **Surprise**: While the text is highly positive, it does not explicitly express surprise. The admiration seems to be a known or established feeling rather than a sudden reaction. Intensity: none."
esp_test_track_b_00007,3.0,2.0,0.0,0.0,0.0,0.0,"The text expresses strong disapproval and rejection of Uribe and his associates, using the phrase ""alv Uribe y su pandilla"" which translates to ""to hell with Uribe and his gang."" This indicates a clear sense of anger and disgust towards the mentioned individuals. The intensity of anger is high due to the direct and forceful language used. Disgust is also present at a moderate level, as the term ""pandilla"" (gang) carries a negative connotation, implying corruption or wrongdoing. There is no evidence of joy, fear, sadness, or surprise in the text, as it focuses solely on criticism and rejection."
esp_test_track_b_00008,0.0,0.0,0.0,0.0,0.0,2.0,"The text expresses surprise at the discovery that someone sings very well. The phrase ""me sorprendio"" directly indicates surprise, and the context of being unaware of the person's singing ability (""No sabia que sólo cantara tan bien"") further supports this emotion. There is no evidence of joy, fear, anger, sadness, or disgust in the text. The surprise is moderate because it is explicitly stated but does not seem to be overwhelming or extreme."
esp_test_track_b_00009,2.0,0.0,0.0,0.0,0.0,0.0,"The text ""Tien 999k este pinche video de mierda"" contains strong language and a negative tone. The use of ""pinche"" and ""mierda"" (which translate to ""damn"" and ""shit"" respectively) indicates frustration or dissatisfaction, which aligns with the emotion of anger. There is no evidence of joy, fear, sadness, disgust, or surprise in the text. The intensity of anger is moderate due to the explicit use of derogatory language, but it does not escalate to a very high level as there is no additional context or escalation in tone."
esp_test_track_b_00010,0.0,0.0,0.0,2.0,0.0,0.0,"The text ""Muy bien señora totalmente de acuerdo en todo"" expresses a positive sentiment and agreement. The phrase ""Muy bien"" (very good) and ""totalmente de acuerdo"" (totally agree) indicate a sense of satisfaction and alignment with the subject being discussed. This suggests a moderate level of joy due to the positive tone and agreement. There is no evidence of fear, anger, sadness, disgust, or surprise in the text, as it lacks any negative or unexpected elements."
