id,anger,disgust,fear,joy,sadness,surprise,reasoning
hau_test_track_b_00001,0.0,0.0,0.0,1.0,0.0,0.0,"The text mentions Deepika Padukone and Taylor Swift, along with other women, being acknowledged for their beauty. This context suggests a positive recognition or celebration, which can be associated with the emotion of joy. However, the text does not explicitly express any other emotions such as fear, anger, sadness, disgust, or surprise. The focus is on the acknowledgment of beauty, which is a positive sentiment, but the intensity of joy is not very high as it is a simple acknowledgment without any additional context of celebration or excitement.

- Joy: The mention of being acknowledged for beauty implies a positive sentiment, leading to a low intensity of joy.
- Fear: There is no indication of any threat or danger, so the intensity is none.
- Anger: There is no expression of hostility or displeasure, so the intensity is none.
- Sadness: The text does not convey any sense of loss or unhappiness, so the intensity is none.
- Disgust: There is no indication of anything offensive or repulsive, so the intensity is none.
- Surprise: The text does not suggest anything unexpected or shocking, so the intensity is none."
hau_test_track_b_00002,1.0,1.0,0.0,0.0,0.0,2.0,"- Joy: There is no indication of joy in the text. The speaker is expressing skepticism and disbelief, which are not associated with joy. Intensity: none.
- Fear: There is no evidence of fear in the text. The speaker is questioning the truthfulness of a statement, but there is no indication of fear. Intensity: none.
- Anger: The use of ""wai hauka"" (which can be translated to ""madness"" or ""nonsense"") suggests a level of frustration or irritation, but it does not reach the level of anger. Intensity: low.
- Sadness: There is no indication of sadness in the text. The speaker is focused on disbelief and skepticism rather than sadness. Intensity: none.
- Disgust: The phrase ""wai hauka"" could imply a sense of disgust towards the statement being questioned, but it is more aligned with frustration. Intensity: low.
- Surprise: The speaker expresses disbelief and skepticism about the claim of being the ""first baby"" in a country with over 200 million people. The use of ""🤔"" suggests contemplation and surprise at the claim's implausibility. Intensity: moderate."
hau_test_track_b_00003,2.0,2.0,0.0,0.0,0.0,0.0,"The text contains derogatory language, indicated by the phrase ""stofin banza"" which translates to ""nonsense"" or ""useless thing,"" suggesting a dismissive or contemptuous attitude. This indicates a presence of anger, as the speaker is expressing disdain. The phrase ""shi babban jimakin musan bazaije ba"" implies that the speaker is not concerned or affected by the event, which could suggest a lack of fear or sadness. The mention of ""ba yarbawa ko inyamurai aka yanka ba"" implies a discriminatory or prejudiced attitude, which aligns with disgust due to the implied ethnic bias. There is no indication of joy, as the overall tone is negative. Surprise is also absent, as the speaker seems to have expected the situation.

- Joy: There is no positive or happy sentiment expressed in the text. Intensity: none.
- Fear: The speaker does not express any concern or anxiety about the situation. Intensity: none.
- Anger: The use of derogatory language and dismissive tone indicates anger. Intensity: moderate.
- Sadness: There is no expression of sorrow or unhappiness. Intensity: none.
- Disgust: The text implies ethnic bias, which suggests disgust. Intensity: moderate.
- Surprise: The speaker does not express any unexpected reaction. Intensity: none."
hau_test_track_b_00004,0.0,0.0,0.0,0.0,3.0,0.0,"The text reports the death of a significant religious figure, a ""babban malamin Izala"" in Kaduna. The word ""rasuwa"" explicitly indicates death, which is typically associated with sadness. The mention of a prominent religious leader's passing suggests a high level of sadness due to the potential impact on the community. There is no indication of joy, as the context is about a loss. Fear is not present, as there is no mention of any threat or danger. Anger is absent because the text does not express any frustration or injustice. Disgust is not relevant here, as there is no mention of anything repulsive or offensive. Surprise is also not present, as the text does not suggest that the death was unexpected or shocking."
hau_test_track_b_00005,0.0,3.0,0.0,0.0,0.0,0.0,"- Joy: There is no indication of joy in the text. The description of the water being dirty does not evoke happiness or pleasure. Intensity level: none.
- Fear: The text does not suggest any fear. The description is more about the state of the water rather than any threatening situation. Intensity level: none.
- Anger: There is no explicit or implicit indication of anger. The text is descriptive and does not convey any frustration or anger. Intensity level: none.
- Sadness: The text does not convey sadness. It is a straightforward description of the water's condition without any emotional attachment that would suggest sadness. Intensity level: none.
- Disgust: The text describes the water as being dirty, comparing it to ""kwata"" (a swamp or muddy area), which implies a sense of disgust due to the uncleanliness. Intensity level: high.
- Surprise: There is no element of surprise in the text. The description is factual and does not indicate any unexpectedness. Intensity level: none."
hau_test_track_b_00006,0.0,0.0,0.0,2.0,0.0,0.0,"The text describes an event where Sarkin Hayin Malam Bello is honored for peace. The word ""karrama"" (honored) suggests a positive recognition, which is associated with joy. The context of being honored for peace implies a positive and harmonious situation, further supporting the presence of joy. There is no indication of fear, anger, sadness, disgust, or surprise in the text. The focus is on a positive event, and there are no negative or unexpected elements mentioned.

- Joy: The act of honoring someone is a positive event, suggesting a moderate level of joy due to the recognition and celebration of peace.
- Fear: There is no mention of any threat or danger, so the intensity is none.
- Anger: There is no indication of conflict or resentment, so the intensity is none.
- Sadness: The text does not mention any loss or sorrow, so the intensity is none.
- Disgust: There is no mention of anything repulsive or offensive, so the intensity is none.
- Surprise: The text does not indicate any unexpected events or outcomes, so the intensity is none."
hau_test_track_b_00007,2.0,0.0,0.0,0.0,0.0,0.0,"The text describes a situation where the noise of a train is preventing householders from sleeping. This situation can evoke several emotions:

- Joy: There is no indication of happiness or pleasure in the text. The context is about disturbance, which is generally not associated with joy. Intensity: none.
- Fear: There is no explicit or implied threat or danger in the text. The noise is a disturbance, but not something that would typically cause fear. Intensity: none.
- Anger: The disturbance caused by the train noise could lead to frustration or irritation, which are forms of anger. The text implies that the noise is unwanted and disruptive, which can be annoying. Intensity: moderate.
- Sadness: The text does not convey any sense of loss or sorrow. The focus is on disturbance, not sadness. Intensity: none.
- Disgust: There is no element of revulsion or distaste in the text. The issue is with noise, not something that would typically cause disgust. Intensity: none.
- Surprise: The text does not indicate any unexpected event or shock. The noise is a known issue, not a surprise. Intensity: none."
hau_test_track_b_00008,1.0,3.0,1.0,0.0,0.0,1.0,"The text describes a situation where visitors (baƙi) are drinking water from a stream (ruwan rafi) that the local people (mutanen gari) urinate in (ke wa fitsari). This scenario is likely to evoke a strong sense of disgust due to the unsanitary and unhygienic nature of the situation. The idea of consuming water that has been contaminated with urine is inherently repulsive, which justifies a high intensity level for disgust. There is no indication of joy, as the situation is unpleasant. Fear might be present at a low level due to potential health risks associated with drinking contaminated water, but it is not explicitly mentioned. Anger could be present at a low level if one considers the negligence or disrespect implied by the locals urinating in a water source used by others, but this is not strongly suggested by the text. Sadness is not explicitly present, as the text does not convey a sense of loss or sorrow. Surprise might be present at a low level due to the unexpected nature of the situation, but it is not strongly emphasized."
hau_test_track_b_00009,1.0,3.0,0.0,0.0,0.0,0.0,"The text describes a situation where the water used to cook beans has polluted the air in the environment. This situation is likely to evoke a strong sense of disgust due to the unpleasant smell or contamination implied by ""gurbata iskar muhallin"" (polluted the air). There is no indication of joy, as the situation is negative and involves pollution. Fear is not present, as there is no mention of danger or threat. Anger might be present at a low level, as pollution can cause frustration or irritation, but it is not explicitly mentioned. Sadness is not evident, as there is no expression of loss or sorrow. Surprise is also not indicated, as the text does not suggest an unexpected event."
hau_test_track_b_00010,0.0,0.0,0.0,0.0,0.0,1.0,"The text ""hmh me ya yi kuma"" translates to ""hmh what did he do again"" in English. The use of ""hmh"" suggests a tone of contemplation or mild annoyance, but it is not strong enough to indicate high levels of any emotion. The phrase ""what did he do again"" implies a sense of curiosity or inquiry, which could be associated with surprise, but the intensity is low as there is no strong indication of shock or astonishment. There is no explicit or implicit indication of joy, fear, anger, sadness, or disgust in the text.

- Joy: There is no expression of happiness or pleasure in the text. Intensity level: none.
- Fear: There is no indication of fear or anxiety. Intensity level: none.
- Anger: The text does not convey anger, though ""hmh"" could suggest mild annoyance, it is not strong enough to be classified as anger. Intensity level: none.
- Sadness: There is no expression of sadness or sorrow. Intensity level: none.
- Disgust: There is no indication of disgust or repulsion. Intensity level: none.
- Surprise: The question ""what did he do again"" suggests a low level of surprise or curiosity. Intensity level: low."
