id,anger,disgust,fear,joy,sadness,surprise,reasoning
rus_test_track_b_00001,0.0,0.0,0.0,0.0,0.0,0.0,"The text expresses a neutral observation about the passage of time, specifically mentioning the transition from New Year to waiting for summer. There is no explicit expression of joy, fear, anger, sadness, disgust, or surprise. The tone is matter-of-fact and does not convey strong emotional content. 

- **Joy**: None. The text does not express happiness or excitement. It is a neutral statement about the progression of seasons.
- **Fear**: None. There is no indication of fear or anxiety in the text.
- **Anger**: None. The text does not express frustration or anger.
- **Sadness**: None. While the text mentions waiting, it does not convey sadness or disappointment.
- **Disgust**: None. There is no indication of disgust or aversion.
- **Surprise**: None. The text does not express any element of surprise or unexpectedness."
rus_test_track_b_00002,2.0,0.0,0.0,0.0,0.0,0.0,"The text expresses frustration and irritation, which is evident from the use of strong language like ""ненавижу"" (I hate) and ""нахуйтак"" (to hell with it). The speaker is clearly annoyed by the situation where someone says they want to talk but delays the conversation. This indicates a moderate level of anger. There is no evidence of joy, fear, sadness, disgust, or surprise in the text. The focus is solely on the irritation caused by the delayed communication."
rus_test_track_b_00003,0.0,0.0,0.0,0.0,0.0,2.0,"The text describes a situation where the speaker lied about having a relationship when a girl proposed dating. The phrase ""ее ответ меня поразил"" (her answer amazed me) indicates a sense of surprise, as the speaker did not expect her response. There is no explicit evidence of joy, fear, anger, sadness, or disgust in the text. The primary emotion here is surprise, as the speaker is taken aback by the girl's reaction. The intensity of surprise is moderate, as the word ""поразил"" (amazed) suggests a notable but not overwhelming reaction."
rus_test_track_b_00004,0.0,0.0,0.0,0.0,0.0,0.0,"The text expresses a mindset of resilience and acceptance, focusing on facing challenges with ease and determination. There is no explicit mention of emotions like joy, fear, anger, sadness, disgust, or surprise. Instead, the tone is neutral and pragmatic, emphasizing learning and perseverance. The phrase ""с легкостью воспринимать все"" (take everything with ease) suggests a calm and composed attitude, while ""учиться и стараться бороться со всем"" (learn and strive to fight against everything) indicates a proactive and determined approach. There is no evidence of emotional distress or heightened emotional states in the text.

- **Joy**: None. The text does not express happiness or positive excitement.
- **Fear**: None. There is no indication of anxiety or fear.
- **Anger**: None. The text lacks any signs of frustration or anger.
- **Sadness**: None. There is no evidence of sorrow or melancholy.
- **Disgust**: None. The text does not mention anything repulsive or offensive.
- **Surprise**: None. The text does not describe any unexpected or startling events."
rus_test_track_b_00005,0.0,0.0,0.0,3.0,0.0,0.0,"The text ""#ЕЛФИМОВ, ТЫ ЛУЧШИЙ!! #Голос"" expresses strong positive sentiment and admiration. The use of capital letters and exclamation marks indicates enthusiasm and excitement. The phrase ""ТЫ ЛУЧШИЙ"" (you are the best) clearly conveys joy and admiration, which are strong indicators of the emotion joy. There is no evidence of fear, anger, sadness, disgust, or surprise in the text. The context is celebratory and positive, with no negative or conflicting emotions implied.

- **Joy**: The text is filled with positive energy and admiration, making the intensity of joy high.
- **Fear**: None, as there is no indication of fear or anxiety.
- **Anger**: None, as there is no negative or hostile language.
- **Sadness**: None, as the tone is entirely positive and celebratory.
- **Disgust**: None, as there is no language or context suggesting disgust.
- **Surprise**: None, as there is no indication of unexpectedness or shock."
rus_test_track_b_00006,0.0,0.0,0.0,1.0,0.0,0.0,"The text describes a positive interaction with security at Domodedovo airport. The speaker mentions calling security and describes them as ""ок, что надо, то сообщили"" (okay, they provided what was needed), which indicates a satisfactory and helpful experience. The tone is neutral to slightly positive, with no strong emotional language. 

- **Joy**: There is a slight positive tone due to the satisfactory interaction, but no explicit expressions of happiness or joy. The intensity is low.
- **Fear**: There is no indication of fear in the text. The interaction is described as helpful and straightforward. The intensity is none.
- **Anger**: There is no indication of anger. The tone is neutral to positive. The intensity is none.
- **Sadness**: There is no indication of sadness. The interaction is described as satisfactory. The intensity is none.
- **Disgust**: There is no indication of disgust. The tone is neutral to positive. The intensity is none.
- **Surprise**: There is no indication of surprise. The interaction is described as expected and satisfactory. The intensity is none."
rus_test_track_b_00007,2.0,0.0,0.0,0.0,0.0,0.0,"The text expresses frustration and annoyance, which is evident from the use of the word ""бесит"" (which translates to ""irritates"" or ""annoys""). This indicates a moderate level of anger. There is no evidence of joy, fear, sadness, disgust, or surprise in the text. The context is purely about an accidental action on Twitter, which does not evoke any other emotions."
rus_test_track_b_00008,3.0,0.0,0.0,0.0,0.0,0.0,"The text expresses significant frustration and annoyance, primarily through the use of strong expletives (""Блеать"") and repetitive complaints about the ongoing construction noise (""уже 4 месяца сцука сверлят и сверлят""). This indicates a high level of anger due to the prolonged inconvenience and irritation caused by the noise. There is no evidence of joy, fear, sadness, disgust, or surprise in the text. The focus is entirely on the speaker's exasperation with the situation."
rus_test_track_b_00009,3.0,0.0,0.0,0.0,0.0,0.0,"The text ""Меня все заебало"" expresses a strong sense of frustration and irritation. The phrase ""заебало"" is a vulgar and emphatic way of saying that the speaker is fed up or extremely annoyed with everything. This indicates a high level of anger due to the explicit use of strong language and the context of being overwhelmed or irritated by ""everything."" There is no evidence of joy, fear, sadness, disgust, or surprise in the text, as the focus is solely on the speaker's frustration."
rus_test_track_b_00010,0.0,0.0,0.0,0.0,0.0,0.0,"The text ""Дома ешь, что хочешь, а в гостях, что велят"" translates to ""At home, eat what you want, but at a guest's place, eat what you're told."" This is a neutral statement that reflects a common social norm or observation about behavior in different settings. There is no explicit or implicit indication of joy, fear, anger, sadness, disgust, or surprise. The tone is matter-of-fact and does not convey any emotional charge. Therefore, all emotions are assigned an intensity level of ""none."""
